County,Province,NumFarms,ProvinceCode,CountyCode,Warm0Cold1,Dry0Semi05Wet1,Literatcy1HS2above,LongitudeDegree,LatitudeDegree,source1well2surface,network1traditional2modern,ECwatirrig_dsm,croparea_ha,SoilTexture1Light2Normal3Heavy,SoilSalinitydSm,variety1chaI2chamII3Pish4SirMih5Oth,GrowthLength150200_123,Irrig1surf2sprinkl3drip,irrig_depth_avg,number_of_irrig,water_vol_m3ha,effective_rain_fao_currentyear_mm,effective_rain_10year_fao075p_mm,WatNeedNationalBook_mm,WaterNeedBookmm,Et_clim_data_this_year_mm,ET_clim_10year_mm,leeching_need_percent,yield_kgha,water_efficiency_kgm3,efficiency_irrig_effectiveraincurrentyear_kgm3,efficiency_irrig_effectiverain10year_kgm3
ParsabadMoqan,Ardebil,6,1,1,1,1,2,47.86166667,39.56333333,1,2,1,16,3,2,4,3,1,109,9,6107,72,128,283,593,554,487,3,5737,1.01,0.89,0.81
Behbahan,Khuzestan,31,2,2,0,1,1,50.22651687,30.58891903,1,2,2,8,2,4,4,2,2,69,8,4090,127,158,514,-,-,450,6,3935,1.00,0.76,0.72
Bavi,Khuzestan,2,2,3,0,0,1,48.891625,31.54501389,1,2,2,95,3,3,2,2,1,82,6,4532,70,112,412,599,-,615,5,3950,0.91,0.79,0.73
Ahvaz,Khuzestan,2,2,4,0,0,1,48.50193056,31.17609722,1,1,2,65,1,5,2,2,1,91,5,4563,75,118,412,599,-,626,7,5850,1.30,1.11,1.03
Hamidieh,Khuzestan,2,2,5,0,0,2,48.45940278,31.41951389,1,2,1,134,2,3,4,2,1,108,5,5415,73,120,412,599,-,608,4,4600,0.86,0.75,0.70
DashtAzadegan,Khuzestan,6,2,6,0,0,1,48.3687963,31.49758333,1,1,2,28,2,6,2,2,1,119,5,5605,75,121,322,593,-,664,4,4467,0.80,0.71,0.66
Shush,Khuzestan,10,2,7,0,0,1,48.19819667,32.24351333,1,2,1,15,2,3,4,1,1,103,8,5724,107,144,322,592,427,414,4,5000,0.97,0.78,0.74
Kharkheh,Khuzestan,2,2,8,0,0,1,48.3999795,31.9479025,2,2,2,18,2,3,2,1,2,140,8,7328,123,170,322,592,370,370,5,3546,0.49,0.41,0.39
Jovain,KhorasanRazavi,6,3,9,1,1,2,57.35456433,36.67803617,2,2,1,15,2,2,4,3,2,-,8,5352,113,129,635,618,-,775,2,4300,0.82,0.68,0.66
Neishabur,KhorasanRazavi,12,3,10,1,0,1,58.64541667,36.32166667,2,1,2,30,2,3,3,3,1,75,7,4697,207,169,569,612,708,629,7,4675,1.10,0.71,0.76
Zabarkhan,KhorasanRazavi,3,3,11,1,0,1,59.04266667,36.06566667,2,1,1,16,2,2,3,3,1,60,8,5307,207,169,569,612,710,631,3,5750,1.21,0.79,0.84
TorbatJam,KhorasanRazavi,8,3,12,1,0,1,60.76717178,35.23733569,2,2,2,31,2,3,3,3,2,72,10,7003,131,60,476,559,-,583,6,6250,0.91,0.76,0.83
Fariman,KhorasanRazavi,7,3,13,1,0,1,59.78599357,35.74439957,2,2,1,15,2,1,4,3,2,93,8,7414,131,60,476,559,-,583,2,6736,0.93,0.78,0.85
Mashhad,KhorasanRazavi,2,3,14,1,0,2,59.7307405,36.189628,2,2,1,9,2,1,3,3,2,72,8,5755,185,88,420,671,-,403,2,4350,0.76,0.57,0.66
Golbahar,KhorasanRazavi,5,3,15,1,0,2,59.222682,36.6273012,2,2,1,8,3,2,3,3,2,83,8,6619,185,88,420,671,-,403,3,8080,1.25,0.97,1.10
Marvdasht,Fars,5,4,16,1,0,1,52.92894227,29.94030506,2,2,1,5,3,1,3,3,2,78,7,5332,271,247,498,544,794,794,2,6180,1.35,0.83,0.85
Eghlid,Fars,8,4,17,1,0,1,52.46692559,30.63581249,2,2,0,11,3,1,3,3,2,65,9,5785,225,210,663,469,866,891,1,6923,1.23,0.87,0.89
Lamerd,Fars,6,4,18,0,1,1,53.13398653,27.43222326,2,2,8,7,2,3,3,2,2,375,5,5138,255,166,-,-,-,694,25,3416,0.74,0.47,0.53
Khonj,Fars,7,4,19,0,1,1,53.18776371,28.13550028,2,2,5,4,2,2,1,2,2,567,5,5860,264,168,467,525,-,652,13,6063,1.10,0.74,0.84
Fasa,Fars,2,4,20,1,1,2,53.76805556,28.76546838,2,2,7,41,3,4,3,2,2,452,7,6971,324,228,457,707,-,786,20,5933,0.89,0.59,0.66
FirouzAbad,Fars,5,4,21,1,1,1,52.53230493,28.86098307,2,2,1,3,2,1,4,3,2,542,6,5876,343,311,445,718,-,755,2,6808,1.25,0.75,0.78
Darab,Fars,15,4,22,1,0,1,54.36666667,28.74733333,2,1,1,6,2,4,5,2,2,87,6,5300,332,235,555,621,-,659,2,5240,1.01,0.61,0.69
RudbarJonub,Kerman,2,5,23,0,0,2,57.98999757,28.04423705,2,2,3,12,1,2,4,2,2,80,12,9270,111,111,320,716,-,-,8,4095,0.47,0.42,0.42
Anbarabad,Kerman,5,5,24,0,0,2,57.84463537,28.33772441,2,2,1,23,3,1,3,2,2,94,8,6736,186,186,320,716,-,-,3,4588,0.75,0.57,0.57
Faryab,Kerman,4,5,25,0,0,2,57.2888134,28.15032894,2,2,1,25,1,2,2,1,2,116,3,3693,255,255,320,716,-,-,2,4150,1.25,0.70,0.70
Kermanshah,Kermanshah,8,6,26,1,1,2,46.99406131,34.42984561,2,2,1,14,3,3,3,3,2,69,6,4255,230,236,307,558,338,333,2,6663,1.59,1.02,1.01
Razan,Hamedan,7,7,27,1,1,1,48.96649914,35.44696614,2,2,0,19,3,2,4,3,2,646,9,5430,217,235,402,664,723,595,1,5357,0.99,0.71,0.69
Dargazin,Hamedan,3,7,28,1,1,1,49.13898567,35.398149,2,2,0,18,3,2,3,3,2,570,8,4778,218,246,402,664,707,579,1,5800,1.25,0.85,0.81
Bonab,EastAzarbayjan,14,9,29,1,1,1,46.06758562,37.31303572,2,1,2,1,2,2,3,3,1,100,4,4274,110,124,328,574,-,402,5,4010,0.95,0.75,0.73
Urmiah,WestAzarbayjan,5,10,30,1,1,1,45.13162,37.89866,2,1,1,1,2,2,3,3,2,86,4,3684,210,271,376,532,451,463,3,4828,1.35,0.84,0.76
Bukan,WestAzarbayjan,1,10,31,1,1,2,45.9734,36.5273,2,1,1,1,2,1,3,3,3,52,5,2587,224,350,375,540,443,447,2,3800,1.47,0.79,0.62
Naqadeh,WestAzarbayjan,3,10,32,1,1,1,45.62263333,36.97586667,2,1,1,2,2,2,3,3,1,109,4,4360,210,271,382,540,455,450,3,5030,1.15,0.78,0.71
Semnan,Semnan,1,11,33,1,0,1,53.4175,35.5522,2,1,2,24,1,-,5,3,1,94,9,8500,89,105,275,625,-,618,5,5000,0.59,0.53,0.52
Damqan,Semnan,2,11,34,1,0,2,54.3397225,35.993189,2,1,2,27,2,-,4,3,1,87,9,7395,83,91,272,591,-,604,5,5650,0.77,0.69,0.68
Garmsar,Semnan,2,11,35,1,0,2,52.290278,35.1572225,2,2,5,36,2,-,3,3,2,74,10,6995,54,88,376,617,-,608,14,5750,0.82,0.76,0.73
Shahrud,Semnan,5,11,36,1,0,2,55.0871112,36.4203898,2,2,2,24,2,-,4,3,2,86,10,8224,118,109,333,604,-,538,5,4800,0.59,0.51,0.52
Miami,Semnan,2,11,37,1,0,2,55.6691665,36.449444,2,1,1,42,3,-,3,3,1,80,9,7864,111,100,320,604,-,574,3,6000,0.77,0.67,0.68
Abyek,Qazvin,6,12,38,1,1,2,50.32089967,36.06784008,2,1,2,126,3,1,4,3,2,104,6,6283,165,152,421,587,664,706,7,6417,1.05,0.82,0.84
BoyeenZahra,Qazvin,6,12,39,1,0,2,50.04441294,35.97654231,2,1,3,75,3,3,3,3,1,119,6,7000,70,104,421,587,726,721,8,5550,0.81,0.73,0.70
Gorgan,Golestan,8,13,40,0,1,-,54.47551518,36.8738838,2,1,1,8,3,1,5,-,1,-,-,1365,125,209,151,-,264,215,2,4382,3.93,1.78,1.32
GonbadKavous,Golestan,5,13,41,0,1,-,55.20233662,37.23446019,2,1,1,12,3,2,5,-,1,-,-,2077,154,179,170,-,291,234,4,4176,3.29,1.31,1.20
