Province,County,Province_number,County_number,Farm_number,Water_source_well0_canal1,network_traditional0_modern1,Ecwat,crop_area_ha,soil_texture_heavy0normallight1,Ecsoil,cultivar_704_1_other_2,irrig_method_surf0_pressure1,Climate_cold0_warm1,ETo_mm,elevation_m,education_1preHS_2HS_3above HS,irrig_water_m3ha,irrigation_count,growth_days_GI,yield_tonha,avg_wat_county,avg_county,-,a0,wat/ET,ie/10,ec/1.5,gd/100
Alborz,Karaj,1,1,3,0,0,0.4,5,1,0.4,1,1,0,594,1293,3,6300,7,97,33.4,7840,49.5,39.2,0.10,0.67,0.00,1.53,-2.53
Alborz,Karaj,1,1,1,0,0,0.4,8,1,0.4,1,1,0,594,1293,3,10670,10,97,45,7840,49.5,55.8,0.10,0.67,0.00,1.53,-2.53
Alborz,Karaj,1,1,4,0,0,0.4,16,0,0.6,1,1,0,537,1613,3,8978,10,98,59.4,7840,49.5,56.9,0.10,0.67,0.00,1.53,-2.53
Alborz,Karaj,1,1,2,0,0,0.4,12,1,0.4,1,1,0,594,1293,3,9070,8,97,60,7840,49.5,50.1,0.10,0.67,0.00,1.53,-2.53
Alborz,Hashtgerd,1,2,5,1,1,0.4,4,1,0.5,1,1,0,548,1613,3,9257,8,96,50,7840,55.0,46.4,0.10,0.67,0.00,1.53,-2.53
Alborz,Hashtgerd,1,2,6,0,1,0.3,4,1,0.8,1,0,0,561,1613,3,4478,21,98,60,7840,55.0,59.6,0.10,0.67,0.00,1.53,-2.53
Tehran,EslamShahr,2,3,3,0,1,0.6,9,1,1.1,1,0,0,700,1163,3,6800,8,102,33.5,7840,51.9,52.6,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,2,0,1,0.6,10,1,1.1,1,0,0,650,1163,3,6920,10,96,41,7840,51.9,56.5,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,4,1,0,0.9,17,0,1.8,1,1,0,732,1163,3,6430,8,92,45,7840,51.9,53.5,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,5,1,0,0.9,6,0,1.8,1,1,0,597,1163,3,6930,9,91,48,7840,51.9,57.0,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,1,0,1,0.6,12,1,1.1,1,0,0,744,1163,3,7050,10,106,49.8,7840,51.9,54.0,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,6,1,0,0.9,9,0,1.8,1,1,0,654,1163,3,6930,9,91,50,7840,51.9,56.3,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,8,0,1,0.8,4,0,0.9,1,0,0,488,1163,3,6640,9,104,65,7840,51.9,56.0,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,9,0,1,0.8,5,0,1.6,1,0,0,654,1163,3,6800,9,90,67,7840,51.9,56.4,1.11,0.14,0.19,0.00,0.31
Tehran,EslamShahr,2,3,7,1,1,0.9,3,0,1.8,1,1,0,534,1163,1,6930,9,94,68,7840,51.9,57.4,1.11,0.14,0.19,0.00,0.31
Tehran,Pakdasht,2,4,10,0,1,0.7,4,0,1.1,1,0,0,635,968,3,6150,8,112,48,7840,55.0,51.1,1.11,0.14,0.19,0.00,0.31
Tehran,Pakdasht,2,4,11,0,1,0.9,6,0,1.4,1,0,0,636,965,3,6250,7,113,50,7840,55.0,49.8,1.11,0.14,0.19,0.00,0.31
Tehran,Pakdasht,2,4,14,1,1,0.8,3,0,1.3,1,1,0,707,990,2,5480,7,90,50,7840,55.0,51.6,1.11,0.14,0.19,0.00,0.31
Tehran,Pakdasht,2,4,13,0,0,0.6,2,0,0.9,1,1,0,671,1036,2,6480,7,86,52,7840,55.0,54.0,1.11,0.14,0.19,0.00,0.31
Tehran,Pakdasht,2,4,16,0,0,0.6,8,0,3.5,1,1,0,653,1006,2,7690,6,95,55,7840,55.0,52.3,1.11,0.14,0.19,0.00,0.31
Tehran,Pakdasht,2,4,12,0,0,1.5,24,0,2.2,1,1,0,677,973,2,6290,9,113,65,7840,55.0,51.7,1.11,0.14,0.19,0.00,0.31
Tehran,Pakdasht,2,4,15,0,1,0.8,8,0,1.7,1,0,0,583,973,2,3120,12,96,65,7840,55.0,53.2,1.11,0.14,0.19,0.00,0.31
Tehran,Shahrerey,2,5,19,0,0,1.0,4,0,2.0,2,1,0,499,1017,3,4922,5,85,52.7,7840,56.9,51.1,1.11,0.14,0.19,0.00,0.31
Tehran,Shahrerey,2,5,17,0,0,1.5,3,0,2.0,1,1,0,752,1013,2,6440,7,85,55,7840,56.9,53.3,1.11,0.14,0.19,0.00,0.31
Tehran,Shahrerey,2,5,18,0,0,2.5,4,0,2.0,1,1,0,528,1007,2,7040,6,84,62.9,7840,56.9,55.3,1.11,0.14,0.19,0.00,0.31
Gazvin,Abyek,3,6,4,0,0,3.7,25,0,1.8,1,1,0,530,1279,1,7920,6,109,42,7840,50.4,51.3,0.96,0.27,0.00,0.12,-0.71
Gazvin,Abyek,3,6,5,0,0,2.8,21,0,1.5,1,1,0,554,1279,1,7668,8,99,45.7,7840,50.4,48.6,0.96,0.27,0.00,0.12,-0.71
Gazvin,Abyek,3,6,2,0,0,1.4,6,1,1.1,2,1,0,617,1279,2,6891,8,89,46,7840,50.4,46.0,0.96,0.27,0.00,0.12,-0.71
Gazvin,Abyek,3,6,3,0,0,3.9,6,0,2.3,1,1,0,517,1279,3,11860,7,102,58,7840,50.4,54.6,0.96,0.27,0.00,0.12,-0.71
Gazvin,Abyek,3,6,1,0,1,1.6,28,1,0.8,1,0,0,691,1279,3,9124,15,113,60.3,7840,50.4,56.1,0.96,0.27,0.00,0.12,-0.71
Gazvin,BoyeenZahra,3,7,10,0,1,1.8,20,0,2.1,2,0,0,590,1282,3,5400,14,111,42,7840,47.8,49.5,0.96,0.27,0.00,0.12,-0.71
Gazvin,BoyeenZahra,3,7,9,0,1,4.2,30,0,2.6,2,0,0,777,1282,3,5800,15,112,44,7840,47.8,42.7,0.96,0.27,0.00,0.12,-0.71
Gazvin,BoyeenZahra,3,7,6,0,0,3.9,12,0,2.4,1,1,0,825,1282,3,7344,5,100,46,7840,47.8,41.7,0.96,0.27,0.00,0.12,-0.71
Gazvin,BoyeenZahra,3,7,7,0,0,3.5,20,0,2.9,1,1,0,815,1282,3,9900,7,112,52,7840,47.8,49.7,0.96,0.27,0.00,0.12,-0.71
Gazvin,BoyeenZahra,3,7,8,0,0,2.0,14,0,3.3,2,1,0,810,1282,2,8100,6,113,55,7840,47.8,50.7,0.96,0.27,0.00,0.12,-0.71
Ardabil,Moghan,4,8,2,1,1,1.1,13,0,2.0,1,1,0,444,121,1,7470,6,87,30,7840,32.8,32.3,0.61,0.00,0.00,0.01,0.41
Ardabil,Moghan,4,8,5,1,1,1.1,6,0,2.0,1,1,0,438,82,1,5800,5,80,30,7840,32.8,33.4,0.61,0.00,0.00,0.01,0.41
Ardabil,Moghan,4,8,3,1,1,1.1,18,0,2.0,1,1,0,398,127,1,5490,4,92,32,7840,32.8,31.6,0.61,0.00,0.00,0.01,0.41
Ardabil,Moghan,4,8,4,1,1,1.1,4,0,2.0,1,1,0,407,75,3,5100,4,77,32,7840,32.8,34.0,0.61,0.00,0.00,0.01,0.41
