Farm,Province,Province_number,County,County_number,Region,Region_NW1_SW2_NE3,Farm_number,Water_source_well_canal,Water_source_well0_canal1,network_type,network_traditional0_modern1,Ecwat,crop_area_ha,soil_texture,soil_texture_heavy0normallight1,Ecsoil,cultivarV,cultivar_704_1_other_2,growth_days_GI,irrigation_method,irrig_method_surf0_pressure1,irrigation_count,yield_tonha,Climate,Climate_cold0_warm1,ETo_mm,elevation_m,literacy,education_1preHS_2HS_3above HS,irrig_water_m3ha
1,Alborz,1,Karaj,1,NW,1,1,well,0,traditional,0,0.38,8,Loam,1,0.42,704,1,97,surface,1,10,45.0,semi arid cold,0,594.2,1292.9,bachelor,3,10670
2,Alborz,1,Karaj,1,NW,1,2,well,0,traditional,0,0.38,11.5,Loam,1,0.42,704,1,97,surface,1,8,60.0,semi arid cold,0,594.2,1292.9,bachelor,3,9070
3,Alborz,1,Karaj,1,NW,1,3,well,0,traditional,0,0.38,4.5,Loam,1,0.42,704,1,97,surface,1,7,33.4,semi arid cold,0,594.2,1292.9,bachelor,3,6300
4,Alborz,1,Karaj,1,NW,1,4,well,0,traditional,0,0.37,16,Clayey loam,0,0.63,704,1,98,surface,1,10,59.4,semi arid cold,0,537.4,1612.9,bachelor,3,8978
5,Alborz,1,Hashtgerd,2,NW,1,5,canal,1,modern,1,0.41,4,Loam,1,0.49,704,1,96,surface,1,8,50.0,semi arid cold,0,548.3,1612.9,bachelor,3,9257
6,Alborz,1,Hashtgerd,2,NW,1,6,well,0,modern,1,0.26,4,Loam,1,0.79,704,1,98,tape,0,21,60.0,semi arid cold,0,560.7,1612.9,bachelor,3,4478
7,Tehran,2,EslamShahr,3,NW,1,1,well,0,modern,1,0.60,12,Gravelly loam,1,1.11,704,1,106,sprinkler,0,10,49.8,arid-cold,0,744.2,1162.9,bachelor,3,7050
8,Tehran,2,EslamShahr,3,NW,1,2,well,0,modern,1,0.60,10,Gravelly loam,1,1.11,704,1,96,sprinkler,0,10,41.0,arid-cold,0,649.5,1162.9,bachelor,3,6920
9,Tehran,2,EslamShahr,3,NW,1,3,well,0,modern,1,0.60,9,Gravelly loam,1,1.11,704,1,102,sprinkler,0,8,33.5,arid-cold,0,699.5,1162.9,bachelor,3,6800
10,Tehran,2,EslamShahr,3,NW,1,4,canal,1,traditional,0,0.94,17,Clayey loam,0,1.75,704,1,92,surface,1,8,45.0,arid-cold,0,731.8,1162.9,bachelor,3,6430
11,Tehran,2,EslamShahr,3,NW,1,5,canal,1,traditional,0,0.94,6,Clayey loam,0,1.75,704,1,91,surface,1,9,48.0,arid-cold,0,597.4,1162.9,bachelor,3,6930
12,Tehran,2,EslamShahr,3,NW,1,6,canal,1,traditional,0,0.94,9,Clayey loam,0,1.75,704,1,91,surface,1,9,50.0,arid-cold,0,654.3,1162.9,bachelor,3,6930
13,Tehran,2,EslamShahr,3,NW,1,7,canal,1,modern,1,0.94,3,Clayey loam,0,1.75,704,1,94,surface,1,9,68.0,arid-cold,0,533.5,1162.9,middle,1,6930
14,Tehran,2,EslamShahr,3,NW,1,8,well,0,modern,1,0.78,3.5,Clayey loam,0,0.92,704,1,104,sprinkler,0,9,65.0,arid-cold,0,488.0,1162.9,bachelor,3,6640
15,Tehran,2,EslamShahr,3,NW,1,9,well,0,modern,1,0.78,5,Clayey loam,0,1.56,704,1,90,sprinkler,0,9,67.0,arid-cold,0,654.3,1162.9,bachelor,3,6800
16,Tehran,2,Pakdasht,4,NW,1,10,well,0,modern,1,0.72,4,Silty Clay,0,1.08,704,1,112,sprinkler,0,8,48.0,arid-cold,0,634.6,968.0,bachelor,3,6150
17,Tehran,2,Pakdasht,4,NW,1,11,well,0,modern,1,0.94,6,Clayey loam,0,1.41,704,1,113,sprinkler,0,7,50,arid-cold,0,636.4,965,bachelor,3,6250
18,Tehran,2,Pakdasht,4,NW,1,12,well,0,traditional,0,1.45,24,Silty Clay,0,2.18,704,1,113,surface,1,9,65.0,arid-cold,0,676.8,973.0,highschool,2,6290
19,Tehran,2,Pakdasht,4,NW,1,13,well,0,traditional,0,0.55,2,Clayey loam,0,0.93,704,1,86,surface,1,7,52.0,arid-cold,0,671.0,1036.0,highschool,2,6480
20,Tehran,2,Pakdasht,4,NW,1,14,canal,1,modern,1,0.80,3,Clay,0,1.31,704,1,90,surface,1,7,50.0,arid-cold,0,707.1,990.0,highschool,2,5480
21,Tehran,2,Pakdasht,4,NW,1,15,well,0,modern,1,-,8,Clayey loam,0,-,704,1,96,drip,0,12,65.0,arid-cold,0,583.2,973.0,highschool,2,3120
22,Tehran,2,Pakdasht,4,NW,1,16,well,0,traditional,0,0.60,8,Clayey loam,0,3.47,704,1,95,surface,1,6,55.0,arid-cold,0,653.2,1006.0,highschool,2,7690
23,Tehran,2,Shahrerey,5,NW,1,17,well,0,traditional,0,-,3,Clayey loam,0,-,704,1,-,surface,1,7,55.0,arid-cold,0,752.4,1013.0,highschool,2,6440
24,Tehran,2,Shahrerey,5,NW,1,18,well,0,traditional,0,2.47,3.5,Clayey loam,0,-,704,1,84,surface,1,6,62.9,arid-cold,0,527.8,1007.0,highschool,2,7040
25,Tehran,2,Shahrerey,5,NW,1,19,well,0,traditional,0,1.00,4,Clayey loam,0,-,706,2,85,surface,1,5,52.7,arid-cold,0,498.5,1017.0,bachelor,3,4922
26,Gazvin,3,Abyek,6,NW,1,1,well,0,modern,1,1.6,28,Gravelly loam,1,0.76,704,1,113,sprinkler,0,15,60.3,semi arid cold,0,691.1,1279.1,bachelor,3,9124.0
27,Gazvin,3,Abyek,6,NW,1,2,well,0,traditional,0,1.4,6,Loam,1,1.12,703,2,89,surface,1,8,46.0,semi arid cold,0,616.5,1279.1,highschool,2,6891.0
28,Gazvin,3,Abyek,6,NW,1,3,well,0,traditional,0,3.9,6,Clayey loam,0,2.29,704,1,102,surface,1,7,58.0,semi arid cold,0,517.0,1279.1,master,3,11860.0
