Province,ProvinceCode,County,CountyCode,Warm0Cold1,Dry0Semi05Wet1,Literatcy1HS2above,LongitudeDegree,LatitudeDegree,source1well2surface,network1traditional2modern,ECwatirrig_dsm,croparea_ha,SoilTexture1Light2Normal3Heavy,SoilSalinitydSm,variety1chaI2chamII3Pish4SirMih5Oth,plant_date,harvest_date,GrowthLength150200_123,Irrig1surf2sprinkl3drip,irrig_depth_avg,number_of_irrig,water_vol_m3ha,effective_rain_fao_currentyear_mm,effective_rain_10year_fao075p_mm,WatNeedNationalBook_mm,WaterNeedBookmm,Et_clim_data_this_year_mm,ET_clim_10year_mm,leeching_need_percent,yield_kgha,water_efficiency_kgm3,efficiency_irrig_effectiveraincurrentyear_kgm3,efficiency_irrig_effectiverain10year_kgm3
Ardebil,1,ParsabadMoqan,1,1,0.5,2,47.88,39.54,1,2,1.1,20.0,3,2.61,5,95/8/25,96/4/6,3,2,22,17,3803,50,117,283,593,567,496,3,4934,1.3,1.1,1.0
Ardebil,1,ParsabadMoqan,1,1,0.5,2,47.88,39.54,1,2,1.1,31.0,3,2.91,5,95/9/22,96/4/9,3,2,25,16,4059,46,102,283,593,564,498,3,4743,1.2,1.0,0.9
Ardebil,1,ParsabadMoqan,1,1,0.5,2,47.7,39.53,1,2,1.1,21.4,3,2.72,5,95/7/6,96/3/29,3,1,127,4,5085,117,162,283,593,570,506,3,5546,1.1,0.9,0.8
Ardebil,1,ParsabadMoqan,1,1,0.5,1,47.78,39.61,1,2,1.2,12.0,3,2.78,1,95/8/17,96/3/31,3,1,158,5,7905,89,156,283,593,551,483,3,6000,0.8,0.7,0.6
Ardebil,1,ParsabadMoqan,1,1,0.5,1,47.97,39.56,1,2,1.1,5.0,3,1.34,1,95/9/10,96/3/29,2,1,148,6,8867,65,112,283,593,535,468,3,6000,0.7,0.6,0.6
Ardebil,1,ParsabadMoqan,1,1,0.5,1,47.96,39.6,1,2,1.0,4.0,3,0.97,5,95/8/29,96/3/28,3,1,173,4,6920,65,117,283,593,538,470,3,7200,1.0,1.0,0.9
Khuzestan,2,Behbahan,2,0,0.5,1,50.31697,30.60144,2,1,3.0,9.0,2,3.61,5,95/9/9 ,96/2/23,2,1,46,11,5066,164,205,514,,,460,9,4778,0.9,0.7,0.7
Khuzestan,2,Behbahan,2,0,0.5,1,50.31664,30.6031,2,1,3.0,4.5,2,3.61,1,95/9/27,96/2/23,1,1,46,9,4145,111,138,514,,,463,9,4444,1.1,0.8,0.8
Khuzestan,2,Behbahan,2,0,0.5,1,50.31735,30.60344,2,1,3.0,7.0,2,3.61,5,95/10/1,96/2/23,1,1,46,8,3684,111,138,514,,,462,9,4143,1.1,0.9,0.8
Khuzestan,2,Behbahan,2,0,0.5,1,50.03709,30.46186,2,1,3.6,1.5,2,4.56,5,95/8/8,96/2/10,2,1,70,7,4889,197,263,514,,,396,11,4690,1.0,0.7,0.6
Khuzestan,2,Behbahan,2,0,0.5,1,49.99407,30.45373,1,1,3.3,1.0,2,7.35,5,95/8/8,96/2/5,2,1,36,5,2846,197,245,514,,,381,10,4000,1.4,0.8,0.8
Khuzestan,2,Behbahan,2,0,0.5,1,50.02659,30.37076,2,1,5.0,9.0,3,4,5,95/8/1,96/2/5,2,1,127,7,8857,197,245,514,,,387,16,3500,0.4,0.3,0.3
Khuzestan,2,Behbahan,2,0,0.5,2,50.17137,30.68455,1,2,1.7,2.4,3,5.02,5,95/9/24,96/2/25,2,1,68,5,4030,119,148,514,,,474,5,2983,0.7,0.6,0.5
Khuzestan,2,Behbahan,2,0,0.5,1,50.1706,30.69194,1,2,1.7,12.8,3,1.85,5,95/9/24,96/2/23,2,1,162,3,4852,119,148,514,,,463,5,5104,1.1,0.8,0.8
Khuzestan,2,Behbahan,2,0,0.5,1,50.2244,30.67476,1,2,1.7,1.8,3,2.02,5,95/9/20,96/2/19,2,1,129,3,3878,119,148,514,,,441,5,3441,0.9,0.7,0.6
Khuzestan,2,Behbahan,2,0,0.5,1,50.19371,30.70477,1,2,1.7,2.0,3,1.47,5,95/9/2,96/2/23,2,1,104,4,4160,190,236,514,,,451,5,2925,0.7,0.5,0.4
Khuzestan,2,Behbahan,2,0,0.5,1,50.25861,30.67464,1,2,1.7,0.9,3,3.87,5,95/9/23,96/2/21,2,1,129,3,3263,119,148,514,,,452,5,3008,0.9,0.7,0.6
Khuzestan,2,Behbahan,2,0,0.5,1,50.24824,30.68242,1,2,1.7,2.7,3,2.21,5,95/9/20,96/2/20,2,1,111,3,3323,119,148,514,,,446,5,3320,1.0,0.7,0.7
Khuzestan,2,Behbahan,2,0,0.5,1,50.23761,30.69467,1,2,1.7,4.5,3,4.67,5,95/9/20,96/2/16,2,1,129,3,3869,119,148,514,,,426,5,4500,1.2,0.9,0.8
Khuzestan,2,Behbahan,2,0,0.5,1,50.2819,30.61919,1,2,1.7,0.7,3,2.41,5,95/9/22,96/2/24,2,1,119,4,4755,119,148,514,,,469,5,3146,0.7,0.5,0.5
Khuzestan,2,Behbahan,2,0,0.5,1,50.11704,30.66609,2,1,2.6,0.6,3,4.21,1,95/10/2,96/2/29,1,1,87,5,4363,110,136,514,,,498,8,2941,0.7,0.5,0.5
Khuzestan,2,Behbahan,2,0,0.5,1,50.39095,30.60057,1,2,3.1,1.4,2,2.91,5,95/9/14,96/2/18,2,3,82,4,3282,119,148,514,,,436,8,4965,1.5,1.1,1.0
Khuzestan,2,Behbahan,2,0,0.5,1,50.29287,30.67722,1,2,1.7,12.5,2,0.85,5,95/9/7,96/2/12,2,3,93,5,4655,165,211,514,,,405,4,5350,1.1,0.8,0.8
Khuzestan,2,Behbahan,2,0,0.5,1,50.30619,30.64363,1,2,1.7,0.9,2,3.89,5,95/10/8,96/2/23,2,3,17,7,3770,110,134,514,,,466,4,5101,1.4,1.0,1.0
Khuzestan,2,Behbahan,2,0,0.5,1,50.34637,30.44819,1,2,1.9,4.6,3,6.01,5,95/10/3,96/2/14,1,3,85,5,4239,110,134,514,,,419,5,4543,1.1,0.9,0.8
