Province,County,Farm_count,Yield_tonha,Yield1_kgha,IrrigWat_m3ha
Qazvin,Takestan,23,7804,10661,6397
Fars,Ghir-Jahrom-Quar-Shiraz,20,11790,15191,7278
Hamedan,Malayer,29,31375,17802,4988
AzarbaijanEast,Malekan-Maragheh,15,10577,12805,5262
AzarbaijanWest,Urmia-Miandoab-Naqadeh,11,11100,8831,4319
KhorasanRazavi,Guchan-KhalilAbad-Kashmar,16,25527,16825,9818
KhorasanNorth,Farooj-Shirvan,7,16630,12900,6182
Zanjan,Abhar-KhorramDarreh,22,17286,5547,5436
Markazi,Khondab-Shazand-Arak,12,22328,11708,10103
Semnan,Shahrood-Bastam,9,31964,18200,7348
